cycle_life,DeltaQ_logVar,DeltaQ_Min,DeltaQ_Skew,DeltaQ_Kurt,QD_Max-2,QD_2,slope_capacity_fade_2-100,intercept_capacity_fade_2-100,slope_capacity_fade_91-100,intercept_capacity_91-100,init_avg_charge_time,avg_T,min_IR,IR_100-2
1852,-4.836169572,-0.009054111,0.443415915,0.342752202,0.4683652,1.0706892,-0.000206807,1.091143732,3.53E-05,1.072424693,13.374894,31.60374733,0.016443744,-7.52E-05
2160,-4.988991214,-0.010528733,0.072319069,-0.156307657,0.0092883,1.0753012,5.54E-06,1.08096458,-4.13E-05,1.084767,13.40915,31.33031431,0,-4.20E-05
2237,-4.81242117,-0.013185873,0.059163738,0.621247855,0.0081312,1.0799223,1.03E-05,1.08484612,-4.42E-05,1.089364321,13.35824233,31.47958411,0,-1.38E-05
1434,-4.371543915,-0.018932757,-0.353849696,-1.072028888,0.0065301,1.0797229,1.71E-05,1.084075016,-3.68E-06,1.085131095,12.02513967,29.94219881,0,3.86E-05
1709,-4.533900376,-0.017832352,-0.257654002,-0.54982185,0.0058999,1.0784167,1.90E-05,1.081874821,-2.93E-05,1.085538347,12.04185067,31.44888383,0,-5.33E-05
1074,-4.138278847,-0.026849843,0.064145277,-1.013627131,0.0059438,1.0761266,1.12E-05,1.079754795,-2.32E-05,1.082084999,10.96784967,30.92149771,0.015922785,-0.000111867
636,-3.764241783,-0.040230994,-0.354404301,-1.069835144,0.0063032,1.0758358,-4.81E-06,1.081157026,-6.22E-05,1.085484911,10.076479,32.27384522,0,-0.000333346
870,-3.81349409,-0.038377795,-0.365713473,-1.055106969,0.0041042,1.0938644,-6.43E-06,1.09725427,-4.06E-05,1.099840619,10.02508167,31.99008451,0,-3.84E-05
1054,-3.946707499,-0.032401918,-0.352009669,-0.985063112,0.0059757,1.0829742,1.82E-05,1.086771425,-1.30E-05,1.088946321,11.207956,32.64153361,0.016611163,-3.37E-05
788,-4.091375995,-0.028488533,-0.611823813,-0.803493715,0.0094604,1.0537786,2.18E-05,1.058971606,-1.16E-05,1.061117519,11.668876,32.75932261,0,-0.000303578
880,-4.060836306,-0.02940338,-0.204277909,-1.265496905,0.0068777,1.0709661,2.62E-05,1.074764977,-1.95E-05,1.07814312,10.764334,33.0774628,0.016649306,-6.81E-05
719,-3.949082827,-0.031587051,-0.125777085,-0.252644427,0.0082151,1.0611236,2.90E-05,1.066175368,-2.44E-05,1.070170135,10.79770567,33.1477201,0.016542939,-0.000253296
862,-4.07162321,-0.028934414,0.090319879,-0.899453948,0.0074255,1.0811664,2.32E-05,1.085288383,-3.06E-05,1.089363988,10.11310767,32.41716255,0,-1.48E-05
