,cycle_life,DeltaQ_logVar,DeltaQ_Min,DeltaQ_Skew,DeltaQ_Kurt,QD_Max-2,QD_2,slope_capacity_fade_2-100,intercept_capacity_fade_2-100,slope_capacity_fade_91-100,intercept_capacity_91-100,init_avg_charge_time,avg_T,min_IR,IR_100-2
b1c0,1852.0,-5.014861042960788,-0.008459642934268818,-0.5320584720505735,-1.3483118916844854,0.46836520000000004,1.0706892,-0.00020680701298702559,1.0911437324098123,3.5323636363640216e-05,1.0724246927272723,13.374893999999992,31.603747328822767,0.016443744,-7.520000000000096e-05
b1c1,2160.0,-5.013959617162855,-0.011003816596621974,-0.4293749031928047,-1.0291160019202557,0.009288300000000138,1.0753012,5.535292516996646e-06,1.0809645798796121,-4.1299999999954105e-05,1.0847669999999952,13.409150000000002,31.33031430692745,0.0,-4.199100000000164e-05
b1c2,2237.0,-4.7369997419805365,-0.017216391849644463,-1.0801942790076273,0.3486368188757716,0.008131200000000005,1.0799223,1.029562523190522e-05,1.0848461200828694,-4.41969696969067e-05,1.0893643206060537,13.358242333333328,31.47958411321121,0.0,-1.3807000000001096e-05
b1c3,1434.0,-4.442613359277012,-0.018960539773269502,-0.43905046294046807,-1.0954158488747705,0.006530099999999983,1.0797229,1.713634755720612e-05,1.0840750159715518,-3.684242424221018e-06,1.0851310951515127,12.025139666666673,29.942198807956427,0.0,3.858100000000281e-05
b1c4,1709.0,-4.647743660307859,-0.013957995093677344,-0.36254812672859005,-1.3338305761630276,0.005899899999999958,1.0784167,1.8994317872600686e-05,1.081874821101629,-2.9326666666601938e-05,1.0855383466666602,12.041850666666674,31.44888383416564,0.0,-5.331399999999875e-05
b1c5,1074.0,-4.178877963304522,-0.025178778949337288,-0.1493501482196471,-1.227526520149324,0.005943800000000055,1.0761266,1.1228400742106591e-05,1.0797547949964965,-2.322303030302217e-05,1.0820849993939383,10.967849666666668,30.92149771366389,0.015922785,-0.0001118670000000016
b1c6,636.0,-3.7688779002277237,-0.03788603931347978,-0.40793584962018636,-1.2380700944581655,0.006303200000000064,1.0758358,-4.808646876931291e-06,1.081157025839208,-6.222545454541302e-05,1.0854849109090863,10.07647899999999,32.27384521945563,0.0,-0.0003333460000000017
b1c7,870.0,-3.8134860773269867,-0.03823338650707442,-0.3334166199580946,-1.120535904128327,0.004104200000000002,1.0938644,-6.428188002471834e-06,1.0972542699113579,-4.056606060604499e-05,1.099840618787877,10.02508166666667,31.990084509217034,0.0,-3.842100000000029e-05
b1c9,1054.0,-4.059383677769545,-0.028724475696229934,-0.4275910282835675,-1.1821708568020548,0.005975700000000028,1.0829742,1.8204385899803856e-05,1.0867714248039582,-1.3036969696956e-05,1.088946320606059,11.207955999999994,32.64153361126789,0.016611163,-3.366599999999817e-05
b1c11,788.0,-4.146896530502188,-0.023691513033622602,-0.5948478865400659,-1.205555466507367,0.009460400000000035,1.0537786,2.180940259740553e-05,1.0589716063261183,-1.1643030302975241e-05,1.0611175193939337,11.668875999999987,32.75932260623101,0.0,-0.0003035779999999988
