cycle_life,DeltaQ_logVar,DeltaQ_logMin,DeltaQ_logMean,DeltaQ_logSkew,DeltaQ_logKurt,DeltaQ_2V,slope_capacity_fade_2-100,intercept_capacity_fade_2-100,slope_capacity_fade_91-100,intercept_capacity_91-100,QD_2,QD_Max-2,QD_100,init_avg_charge_time,T_max,T_min,T_integral,IR_2,min_IR,IR_100-2
1852,-5.014861043,-2.072647967,-2.072647967,-0.274040637,0.129790365,5.48E-05,-0.000206807,1.091143732,3.53E-05,1.072424693,1.0706892,0.0063932,1.0759126,13.374894,35.994705,29.012251,3097.354687,0.016742354,0.016443744,-7.52E-05
2160,-5.013959617,-1.958456657,-1.958456657,-0.367163344,0.012464331,-0.00015728,5.54E-06,1.08096458,-4.13E-05,1.084767,1.0753012,0.0092883,1.0806297,13.40915,34.712265,29.230637,3070.296078,0.017038831,0,-4.20E-05
2237,-4.736999742,-1.764057861,-1.764057861,0.033501873,-0.45762675,8.78E-06,1.03E-05,1.08484612,-4.42E-05,1.089364321,1.0799223,0.0081312,1.0849404,13.35824233,35.127342,29.269444,3084.83668,0.01686798,0,-1.38E-05
1434,-4.442613359,-1.722149303,-1.722149303,-0.357485561,0.03957902,0.00018204,1.71E-05,1.084075016,-3.68E-06,1.085131095,1.0797229,0.0065301,1.0847498,12.02513967,31.691414,29.023619,2934.438842,0.016369704,0,3.86E-05
1709,-4.64774366,-1.855176959,-1.855176959,-0.440634335,0.125100669,4.16E-05,1.90E-05,1.081874821,-2.93E-05,1.085538347,1.0784167,0.0058999,1.0826457,12.04185067,35.651741,29.092649,3082.307734,0.016787428,0,-5.33E-05
1074,-4.178877963,-1.598965335,-1.598965335,-0.825794342,0.089030884,0.000237111,1.12E-05,1.079754795,-2.32E-05,1.082084999,1.0761266,0.0059438,1.0797794,10.96784967,34.654667,28.914812,3030.040347,0.016437579,0.015922785,-0.000111867
636,-3.7688779,-1.421520794,-1.421520794,-0.389408127,0.092745233,6.20E-05,-4.81E-06,1.081157026,-6.22E-05,1.085484911,1.0758358,0.0063032,1.0792426,10.076479,36.496124,29.495056,3162.720934,0.017001977,0,-0.000333346
870,-3.813486077,-1.417557233,-1.417557233,-0.477012756,0.049425777,-0.000234385,-6.43E-06,1.09725427,-4.06E-05,1.099840619,1.0938644,0.0041042,1.0957625,10.02508167,36.053928,29.368095,3134.852748,0.016311171,0,-3.84E-05
1054,-4.059383678,-1.54174789,-1.54174789,-0.368971416,0.072680249,-3.76E-05,1.82E-05,1.086771425,-1.30E-05,1.088946321,1.0829742,0.0059757,1.0876312,11.207956,36.799232,29.999718,3198.618074,0.016978227,0.016611163,-3.37E-05
788,-4.146896531,-1.625407203,-1.625407203,-0.225594077,0.081187197,-3.53E-06,2.18E-05,1.058971606,-1.16E-05,1.061117519,1.0537786,0.0094604,1.0599719,11.668876,37.128967,29.87781,3210.580765,0.016575078,0,-0.000303578
880,-4.04606984,-1.548306331,-1.548306331,-0.549054366,0.118359685,-2.53E-05,2.62E-05,1.074764977,-1.95E-05,1.07814312,1.0709661,0.0068777,1.0762016,10.764334,37.818813,29.769632,3241.239929,0.017121186,0.016649306,-6.81E-05
719,-4.017949103,-1.538433128,-1.538433128,-0.316954268,0.09706841,-0.000188699,2.90E-05,1.066175368,-2.44E-05,1.070170135,1.0611236,0.0082151,1.0677497,10.79770567,38.47617,29.44138,3248.233738,0.017168047,0.016542939,-0.000253296
862,-4.099413675,-1.5589859,-1.5589859,-0.910272068,0.089233166,-0.000172863,2.32E-05,1.085288383,-3.06E-05,1.089363988,1.0811664,0.0074255,1.0863206,10.11310767,37.566532,29.542667,3176.949541,0.01683085,0,-1.48E-05
857,-3.970159451,-1.507687163,-1.507687163,-0.591780484,0.110826083,-4.39E-05,1.79E-05,1.076194039,-1.27E-05,1.078266405,1.072052,0.0071738,1.0769763,10.14688067,37.208405,29.182228,3144.922957,0.016778639,0.016238289,2.22E-05
